Name,Category,Cover,경로,독후감,완독년도
욕망의 진화,진화심리학,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/5719090.jpg,"리디북스, 전자책",📝,2021
클루지,진화심리학,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/800x0-5.jpeg,"밀리의서재, 전자책",,-
킵고잉,"경제/경영, 투자",%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/800x0-6.jpeg,"광운대전자도서관, 전자책",📝,2021
Data-Driven UX,"UI/UX, 디자인",,종이책,,-
"35세, 1억으로 내 아파트 갖기",부동산,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/800x0-7.jpeg,"밀리의서재, 전자책",📝,2021
일생에 한번은 고수를 만나라,자기계발,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/27320026.jpg,"밀리의서재, 전자책",📝,2021
지능의 역설,진화심리학,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/XL%201.jpeg,종이책,,2021
꼬리에 꼬리를 무는 그날 이야기,한국사회,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/A6C0B2D9-8E3B-4A0B-81E6-5F01673D48E9.jpeg,밀리의서재,🖌,2021
일의 격,리더십,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/XL-2%201.jpeg,종이책,,2021
(사용자를) 생각하게 하지 마!,디자인,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/42585058.jpg,종이책,📝,2023
Peopleware,"개발방법론, 소프트웨어",%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/38416928.jpg,,📝,2023
이웃집 백만장자,,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/XL.jpeg,,,2023
네 인생 우습지 않다,,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/XL-2.jpeg,,,2023
